Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
1089	fresche	FRAIS	FRAIS	Aq		VM/DS					FRAIS																		FRAÎCHE																															
1090	&	ET	ET	Cc		VM/DS							ET																																															
1091	clere	CLAIR	CLAIR	Aq		VM/DS					CLAIR																		CLAIRE/CLÉ/CLAIR/GLAIRE																															
1092	Dens	DANS	DANS	S		VM/DS																							DENT													DANS																		
1093	ma	SON	SON	Ds		VM/DS																SON																																						
1094	main	MAIN	MAIN	Nc		VM/DS																							MAIN																															
1095	creuse	CREUX	CREUX	Aq		VM/DS					CREUX																																								CREUSER									
1096	0	0	0	Fw		VM/DS																					0																																	
1097	&	ET	ET	Cc		VM/DS							ET																																															
1098	en	EN	EN	S		VM/DS																															EN					EN													EN					
1099	beuvant	BOIRE	BOIRE	PAGa		VM/DS																											BOIRE																											
1100	leur	LE	LE	Pp		VM/DS																SON															LE																							
1101	prie	PRIER	PRIER	Vvc		VM/DS																																													PRIER									
1102	0	0	0	Fw		VM/DS																					0																																	
1103	Que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1104	tout	TOUT	TOUT	Pi		VM/DS			TOUT																											TOUT																								
1105	ainsi	AINSI	AINSI	R		VM/DS								AINSI																											AINSI																			
1106	0	0	0	Fw		VM/DS																					0																																	
1107	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1108	à	À	À	S		VM/DS																																				À																		
1109	eux	LE	LE	Pp		VM/DS																															LE																							
1110	0	0	0	Fw		VM/DS																					0																																	
1111	Amour	AMOUR	AMOUR	Nc		VM/DS																							AMOUR																															
1112	me	LE	LE	Pp		VM/DS																															LE																							
1113	rye	RIRE	RIRE	Vvc		VM/DS																																													RIRE									
1114	:	:	:	Fw		VM/DS																					:																																	
1115	Ou	OU	OU	Cc		VM/DS							OU																									OU			OU																			
1116	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1117	leur	SON	SON	Ds		VM/DS																SON																																						
1118	eau	EAU	EAU	Nc		VM/DS																							EAU																															
1119	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1120	leur	SON	SON	Ds		VM/DS																SON																																						
1121	amour	AMOUR	AMOUR	Nc		VM/DS																							AMOUR																															
1122	coulpable	COUPABLE	COUPABLE	Aq		VM/DS					COUPABLE																																																	
1123	Puisse	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
1124	assoupir	ASSOUPIR	ASSOUPIR	Vvn		VM/DS																																														ASSOUPIR								
1125	mon	SON	SON	Ds		VM/DS																SON																																						
1126	feu	FEU	FEU	Nc		VM/DS																							FEU																															
1127	intolerable	INTOLÉRABLE	INTOLÉRABLE	Aq		VM/DS					INTOLÉRABLE																																																	
1128	.	.	.	Fs		VM/DS																				.																																		
1129	Et	ET	ET	Cc		VM/DS							ET																																															
1130	celà	CELUI	CELUI	Pd		VM/DS																													CELUI																									
1131	fait	FAIRE	FAIRE	PAGe		VM/DS																							FAIT					FAIRE																	FAIRE									
1132	0	0	0	Fw		VM/DS																					0																																	
1133	je	IL	IL	Pp		VM/DS																															IL																							
1134	m'	LE	LE	Pp		VM/DS																															LE																							
1135	esbas	ÉBATTRE	ÉBATTRE	Vvc		VM/DS																							ÉBAT																						ÉBATTRE									
1136	par	PAR	PAR	S		VM/DS																																				PAR																		
1137	la	LE	LE	Da		VM/DS										LE																					LE																							
1138	plaine	PLAINE	PLAINE	Nc		VM/DS																							PLAINE																															
1139	0	0	0	Fw		VM/DS																					0																																	
1140	Ou	OU	OU	Cc		VM/DS							OU																									OU			OU																			
1141	çà	ÇÀ	ÇÀ	R		VM/DS																																			ÇÀ																			
1142	0	0	0	Fw		VM/DS																					0																																	
1143	&	ET	ET	Cc		VM/DS							ET																																															
1144	là	LÀ	LÀ	R		VM/DS																																			LÀ																			
1145	vagabond	VAGABOND	VAGABOND	Nc		VM/DS																							VAGABOND																															
1146	me	LE	LE	Pp		VM/DS																															LE																							
1147	pourmaine	PROMENER	PROMENER	PAGe		VM/DS																												PROMENER																	PROMENER									
1148	Seul	SEUL	SEUL	Aq		VM/DS					SEUL																																																	
1149	avec	AVEC	AVEC	S		VM/DS																																				AVEC																		
1150	moy	LE	LE	Pp		VM/DS																															LE																							
1151	0	0	0	Fw		VM/DS																					0																																	
1152	qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
1153	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1154	rien	RIEN	RIEN	Pi		VM/DS																							RIEN							RIEN																								
1155	ne	NE	NE	R		VM/DS																																			NE																			
1156	me	LE	LE	Pp		VM/DS																															LE																							
1157	chault	CHALOIR	CHALOIR	Vvn		VM/DS		CHAUD																																											CHOIR	CHALOIR								
1158	.	.	.	Fs		VM/DS																				.																																		
1159	Et	ET	ET	Cc		VM/DS							ET																																															
1160	à	À	À	S		VM/DS																																				À																		
1161	Mydi	MIDI	MIDI	Nc		VM/DS																							MIDI																															
1162	pour	POUR	POUR	S		VM/DS																																				POUR																		
1163	eviter	ÉVITER	ÉVITER	Vvn		VM/DS																																														ÉVITER								
1164	le	LE	LE	Da		VM/DS										LE																					LE																							
1165	chauld	CHAUD	CHAUD	Nc		VM/DS																							CHAUD																															
1166	Tost	TÔT	TÔT	R		VM/DS																																			TÔT																			
1167	je	IL	IL	Pp		VM/DS																															IL																							
1168	me	LE	LE	Pp		VM/DS																															LE																							
1169	renge	RANGER	RANGER	PAGe		VM/DS																												RANGER																	RANGER									
1170	en	EN	EN	S		VM/DS																															EN					EN													EN					
1171	la	LE	LE	Da		VM/DS										LE																					LE																							
1172	verte	VERT	VERT	Aq		VM/DS					VERT																																																	
1173	Saulsaye	SAUSSAIE	SAUSSAIE	Nc		VM/DS																							SAUSSAIE																															
1174	0	0	0	Fw		VM/DS																					0																																	
1175	Que	QUE	QUE	Pr		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1176	pas	PAS	PAS	Nc		VM/DS																							PAS												PAS																			
1177	à	À	À	S		VM/DS																																				À																		
1178	pas	PAS	PAS	Nc		VM/DS																							PAS												PAS																			
1179	je	IL	IL	Pp		VM/DS																															IL																							
1180	mesure	MESURER	MESURER	Vvc		VM/DS																							MESURE																						MESURER									
1181	0	0	0	Fw		VM/DS																					0																																	
1182	&	ET	ET	Cc		VM/DS							ET																																															
1183	m'	LE	LE	Pp		VM/DS																															LE																							
1184	esgaye	ÉGAYER	ÉGAYER	Vvc		VM/DS																																													ÉGAYER									
1185	A	À	À	S		VM/DS																																				À																		
1186	regarder	REGARDER	REGARDER	Vvn		VM/DS																																														REGARDER								
1187	par	PAR	PAR	S		VM/DS																																				PAR																		
1188	admiration	ADMIRATION	ADMIRATION	Nc		VM/DS																							ADMIRATION																															
1189	La	LE	LE	Da		VM/DS										LE													LA								LE				LÀ																			
1190	couleur	COULEUR	COULEUR	Nc		VM/DS																							COULEUR																															
1191	vive	VIF	VIF	Aq		VM/DS					VIF																																								VIVRE									
1192	0	0	0	Fw		VM/DS																					0																																	
1193	&	ET	ET	Cc		VM/DS							ET																																															
1194	variation	VARIATION	VARIATION	Nc		VM/DS																							VARIATION																															
1195	De	DE	DE	S		VM/DS													UN	DU																						DE																		
1196	mainte	MAINT	MAINT	Di		VM/DS					MAINT							MAINT																																										
1197	fleur	FLEUR	FLEUR	Nc		VM/DS																							FLEUR																															
1198	naïve	NAÏF	NAÏF	Aq		VM/DS					NAÏF																		NAÏF																															
1199	&	ET	ET	Cc		VM/DS							ET																																															
1200	proprelette	PROPRELET	PROPRELET	Aq		VM/DS					PROPRELET																																																	
1201	.	.	.	Fs		VM/DS																				.																																		
1202	Et	ET	ET	Cc		VM/DS							ET																																															
1203	les	LE	LE	Pp		VM/DS										LE																					LE																							
1204	voyant	VOIR	VOIR	PAGa		VM/DS					VOYANT																		VOYANT				VOIR																											
1205	si	SI	SI	R		VM/DS								SI																											SI																			
1206	fort	FORT	FORT	R		VM/DS					FORT																														FORT																			
1207	je	IL	IL	Pp		VM/DS																															IL																							
1208	me	LE	LE	Pp		VM/DS																															LE																							
1209	delecte	DÉLECTER	DÉLECTER	Vvc		VM/DS																																													DÉLECTER									
1210	0	0	0	Fw		VM/DS																					0																																	
1211	Que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1212	mon	SON	SON	Ds		VM/DS																SON																																						
1213	plein	PLEIN	PLEIN	Aq		VM/DS					PLEIN																																																	
1214	sein	SEIN	SEIN	Nc		VM/DS																							SEIN																															
1215	une	UN	UN	Zc		VM/DS												UN	UN										UNE																													UN		
1216	à	À	À	S		VM/DS																																				À																		
1217	une	UN	UN	Zc		VM/DS												UN	UN																																							UN		
1218	en	LE	LE	Pp		VM/DS																															LE					EN													EN					
1219	amasse	AMASSER	AMASSER	Vvc		VM/DS																																													AMASSER									
1220	.	.	.	Fs		VM/DS																				.																																		
1221	Puis	PUIS	PUIS	R		VM/DS							PUIS	PUIS																											PUIS										POUVOIR									
1222	je	IL	IL	Pp		VM/DS																															IL																							
1223	choisis	CHOISIR	CHOISIR	Vvc		VM/DS																																													CHOISIR									
1224	quelque	QUELQUE	QUELQUE	Di		VM/DS					QUELQUE							QUELQUE																																										
1225	umbrageuse	OMBRAGEUX	OMBRAGEUX	Aq		VM/DS					OMBRAGEUX																																																	
1226	place	PLACE	PLACE	Nc		VM/DS																							PLACE																						PLACER									
1227	Pres	PRÈS	PRÈS	R		VM/DS																																			PRÈS																			
1228	du	DE+LE	DE+LE	S+Da		VM/DS																																					DE+LE	DE+LE																
1229	rivage	RIVAGE	RIVAGE	Nc		VM/DS																							RIVAGE																															
1230	0	0	0	Fw		VM/DS																					0																																	
1231	&	ET	ET	Cc		VM/DS							ET																																															
1232	ce	CELUI	CELUI	Pd		VM/DS											CE																		CELUI		CE																							
1233	neantmoins	NÉANMOINS	NÉANMOINS	R		VM/DS																																			NÉANMOINS																			
1234	seure	SÛR	SÛR	Aq		VM/DS					SÛR																																								SEVRER									
1235	Pour	POUR	POUR	S		VM/DS																																				POUR																		
1236	me	LE	LE	Pp		VM/DS																															LE																							
1237	garder	GARDER	GARDER	Vvn		VM/DS																																														GARDER								
1238	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1239	la	LE	LE	Da		VM/DS										LE																					LE																							
1240	poingnant	POINDRE	POINDRE	PAGa		VM/DS					POIGNANT																						POINDRE																		POINDRE									
1241	morsure	MORSURE	MORSURE	Nc		VM/DS																							MORSURE																															
1242	D'	DE	DE	S		VM/DS												DE	UN	DU																						DE																		
1243	aucune	AUCUN	AUCUN	Di		VM/DS												AUCUN																		AUCUN																								
1244	fiere	FIER	FIER	Aq		VM/DS					FIER																																																	
1245	0	0	0	Fw		VM/DS																					0																																	
1246	&	ET	ET	Cc		VM/DS							ET																																															
1247	oultrageuse	OUTRAGEUX	OUTRAGEUX	Aq		VM/DS					OUTRAGEUX																																																	
1248	beste	BÊTE	BÊTE	Nc		VM/DS																							BÊTE																															
1249	.	.	.	Fs		VM/DS																				.																																		
1250	Lors	LORS	LORS	R		VM/DS																																			LORS																			
1251	je	IL	IL	Pp		VM/DS																															IL																							
1252	respans	RÉPANDRE	RÉPANDRE	PAGa		VM/DS																											RÉPANDRE																		RÉPANDRE/REPENTIR/REPENDRE/RÉPONDRE/RÉPANDRE									
1253	mes	SON	SON	Ds		VM/DS																SON																																						
1254	fleurs	FLEUR	FLEUR	Nc		VM/DS																							FLEUR																															
1255	dessoubs	DESSOUS	DESSOUS	S		VM/DS																							DESSOUS													DESSOUS																		
1256	ma	SON	SON	Ds		VM/DS																SON																																						
1257	teste	TÊTE	TÊTE	Nc		VM/DS																							TÊTE																						TESTER									
1258	0	0	0	Fw		VM/DS																					0																																	
1259	En	EN	EN	S		VM/DS																															EN					EN													EN					
1260	attendant	ATTENDRE	ATTENDRE	PAGa		VM/DS																											ATTENDRE																											
1261	qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1262	à	À	À	S		VM/DS																																				À																		
1263	dormir	DORMIR	DORMIR	Vvn		VM/DS																																														DORMIR								
1264	me	LE	LE	Pp		VM/DS																															LE																							
1265	convie	CONVIER	CONVIER	Vvc		VM/DS																																													CONVIER									
1266	Le	LE	LE	Da		VM/DS										LE																					LE																							
1267	son	SON	SON	Nc		VM/DS																							SON																															
1268	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1269	l'	LE	LE	Da		VM/DS										LE																					LE																							
1270	eau	EAU	EAU	Nc		VM/DS																							EAU																															
1271	murmurant	MURMURER	MURMURER	PAGa		VM/DS					MURMURANT																						MURMURER																											
1272	0	0	0	Fw		VM/DS																					0																																	
1273	comme	COMME	COMME	S		VM/DS							COMME	COMME																											COMME	COMME																		
1274	pluye	PLUIE	PLUIE	Nc		VM/DS																							PLUIE																															
1275	0	0	0	Fw		VM/DS																					0																																	
1276	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
1277	lentement	LENTEMENT	LENTEMENT	R		VM/DS																																			LENTEMENT																			
1278	sur	SUR	SUR	S		VM/DS																																				SUR																		
1279	les	LE	LE	Da		VM/DS										LE																					LE																							
1280	arbres	ARBRE	ARBRE	Nc		VM/DS																							ARBRE																															
1281	descend	DESCENDRE	DESCENDRE	Vvc		VM/DS																																													DESCENDRE									
1282	:	:	:	Fw		VM/DS																					:																																	
1283	Ou	OU	OU	Cc		VM/DS							OU																									OU			OU																			
1284	comme	COMME	COMME	S		VM/DS							COMME	COMME																											COMME	COMME																		
1285	autour	AUTOUR	AUTOUR	R		VM/DS																																			AUTOUR																			
1286	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1287	ces	CE	CE	Dd		VM/DS											CE																																											
1288	estangz	ÉTANG	ÉTANG	Nc		VM/DS																							ÉTANG				ÊTRE/ESTER/ÊTRE																											
1289	on	IL	IL	Pp		VM/DS																															IL																							
1290	sent	SENTIR	SENTIR	Vvc		VM/DS																																													SENTIR									
1291	Le	LE	LE	Da		VM/DS										LE																					LE																							
1292	vent	VENT	VENT	Nc		VM/DS																							VENT																															
1293	souef	SOIF	SOIF	Nc		VM/DS																							SOIF																															
1294	parmy	PARMI	PARMI	S		VM/DS																																				PARMI																		
1295	les	LE	LE	Da		VM/DS										LE																					LE																							
1296	cannes	CANNE	CANNE	Nc		VM/DS																							CANNE																															
1297	bruire	BRUIRE	BRUIRE	Vvn		VM/DS																																														BRUIRE								
1298	.	.	.	Fs		VM/DS																				.																																		
1299	Le	LE	LE	Da		VM/DS										LE																					LE																							
1300	soir	SOIR	SOIR	Nc		VM/DS																							SOIR																															
1301	venu	VENIR	VENIR	PAGe		VM/DS																							VENU					VENIR																										
1302	je	IL	IL	Pp		VM/DS																															IL																							
1303	m'	LE	LE	Pp		VM/DS																															LE																							
1304	en	EN	EN	S		VM/DS																															EN					EN													EN					
1305	revois	RALLER	RALLER	Vvc		VM/DS																																													RALLER									
1306	desduire	DÉDUIRE	DÉDUIRE	Vvn		VM/DS																																														DÉDUIRE								
1307	Du	DE+LE	DE+LE	S+Da		VM/DS																																					DE+LE	DE+LE																
1308	long	LONG	LONG	Nc		VM/DS					LONG																		LONG																															
1309	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1310	l'	LE	LE	Da		VM/DS										LE																					LE																							
1311	eau	EAU	EAU	Nc		VM/DS																							EAU																															
1312	par	PAR	PAR	S		VM/DS																																				PAR																		
1313	les	LE	LE	Da		VM/DS										LE																					LE																							
1314	preaux	PRÉAU	PRÉAU	Nc		VM/DS																							PRÉAU																															
1315	herbus	HERBU	HERBU	Aq		VM/DS					HERBU																		HERBU																															
1316	0	0	0	Fw		VM/DS																					0																																	
1317	Lors	LORSQUE	LORSQUE	Cs		VM/DS					MÊME			LORSQUE														LÀS	LORD																															
1318	que	OUT	OUT	OUT		VM/DS								QUE																	OUT					QUE		QUE		QUE	QUE																			
1319	les	LE	LE	Da		VM/DS										LE																					LE																							
1320	rayz	RAI	RAI	Nc		VM/DS																							RAI																						RIRE									
1321	du	DE+LE	DE+LE	S+Da		VM/DS																																					DE+LE	DE+LE																
1322	tresardant	TRÈS ARDANT	TRÈS ARDANT	E		VM/DS					ARDENT													TRÈS ARDANT					ARDENT																															
1323	Phebus	PHÉBUS	PHÉBUS	Np		VM/DS																								PHÉBUS																														
1324	Sont	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1325	abaissez	ABAISSER	ABAISSER	PAGe		VM/DS																												ABAISSER																	ABAISSER									
1326	.	.	.	Fs		VM/DS																				.																																		
1327	Et	ET	ET	Cc		VM/DS							ET																																															
1328	sur	SUR	SUR	S		VM/DS																																				SUR																		
1329	la	LE	LE	Da		VM/DS										LE																					LE																							
1330	nuict	NUIT	NUIT	Nc		VM/DS																							NUIT																															
1331	paoureuse	PEUREUX	PEUREUX	Aq		VM/DS					PEUREUX																		PEUREUX																															
1332	Je	IL	IL	Pp		VM/DS																															IL																							
1333	me	LE	LE	Pp		VM/DS																															LE																							
1334	retire	RETIRER	RETIRER	Vvc		VM/DS																																													RETIRER									
1335	en	EN	EN	S		VM/DS																															EN					EN													EN					
1336	la	LE	LE	Da		VM/DS										LE																					LE																							
1337	vallee	VALLÉE	VALLÉE	Nc		VM/DS																							VALLÉE																															
1338	umbreuse	OMBREUX	OMBREUX	Aq		VM/DS					OMBREUX																																																	
1339	Soubs	SOUS	SOUS	S		VM/DS																																				SOUS																		
1340	quelque	QUELQUE	QUELQUE	Di		VM/DS					QUELQUE							QUELQUE																																										
1341	roc	ROC	ROC	Nc		VM/DS																							ROC																															
1342	pendant	PENDANT	PENDANT	S		VM/DS																																				PENDANT																		
1343	&	ET	ET	Cc		VM/DS							ET																																															
1344	caverneux	CAVERNEUX	CAVERNEUX	Aq		VM/DS					CAVERNEUX																																																	
1345	0	0	0	Fw		VM/DS																					0																																	
1346	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
1347	point	POINT	POINT	R		VM/DS																							POINT												POINT																			
1348	ne	NE	NE	R		VM/DS																																			NE																			
1349	soit	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE		SAVOIR									
1350	moiste	MOITE	MOITE	Aq		VM/DS					MOITE																		MOTTE																						METTRE/MOTTER/ÔTER/MÂTER									
1351	0	0	0	Fw		VM/DS																					0																																	
1352	ny	NI	NI	Cc		VM/DS							NI																																															
1353	espineux	ÉPINEUX	ÉPINEUX	Aq		VM/DS					ÉPINEUX																																																	
1354	0	0	0	Fw		VM/DS																					0																																	
1355	Ou	QUE	QUE	Pr		VM/DS							OU																									QUE			OU																			
1356	sur	SUR	SUR	S		VM/DS																																				SUR																		
1357	ces	CE	CE	Dd		VM/DS											CE																																											
1358	peaux	PEAU	PEAU	Nc		VM/DS																							PEAU																															
1359	estendu	ÉTENDRE	ÉTENDRE	PAGe		VM/DS																												ÉTENDRE																										
1360	à	À	À	S		VM/DS																																				À																		
1361	l'	LE	LE	Da		VM/DS										LE																					LE																							
1362	envers	ENVERS	ENVERS	Nc		VM/DS																							ENVERS													ENVERS																		
1363	Je	IL	IL	Pp		VM/DS																															IL																							
1364	voy	VOIR	VOIR	Vvc		VM/DS																																													VOIR									
1365	du	DE+LE	DE+LE	S+Da		VM/DS																																					DE+LE	DE+LE																
1366	Ciel	CIEL	CIEL	Nc		VM/DS																							CIEL																															
1367	les	LE	LE	Da		VM/DS										LE																					LE																							
1368	mouvements	MOUVEMENT	MOUVEMENT	Nc		VM/DS																							MOUVEMENT																															
1369	divers	DIVERS	DIVERS	Aq		VM/DS					DIVERS																																																	
1370	0	0	0	Fw		VM/DS																					0																																	
1371	Et	ET	ET	Cc		VM/DS							ET																																															
1372	le	LE	LE	Da		VM/DS										LE																					LE																							
1373	discours	DISCOURS	DISCOURS	Nc		VM/DS																							DISCOURS																															
1374	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1375	la	LE	LE	Da		VM/DS										LE																					LE																							
1376	Lune	LUNE	LUNE	Nc		VM/DS																							LUNE																															
1377	croissante	CROÎTRE	CROÎTRE	PAGa		VM/DS					CROISSANT																						CROÎTRE																											
1378	S'	LE	LE	Pp		VM/DS								SI																							LE																							
1379	elle	IL	IL	Pp		VM/DS																															IL																							
1380	sera	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE		SERRER									
1381	proufitable	PROFITABLE	PROFITABLE	Aq		VM/DS					PROFITABLE																																																	
1382	0	0	0	Fw		VM/DS																					0																																	
1383	ou	OU	OU	Cc		VM/DS							OU																									OU			OU																			
1384	nuisante	NUIRE	NUIRE	PAGa		VM/DS																											NUIRE																											
1385	0	0	0	Fw		VM/DS																					0																																	
1386	Contemplant	CONTEMPLER	CONTEMPLER	PAGa		VM/DS																											CONTEMPLER																											
1387	tout	TOUT	TOUT	Pi		VM/DS			TOUT																											TOUT																								
1388	selon	SELON	SELON	S		VM/DS																																				SELON																		
1389	mon	SON	SON	Ds		VM/DS																SON																																						
1390	rude	RUDE	RUDE	Aq		VM/DS					RUDE																																																	
1391	sens	SENS	SENS	Nc		VM/DS																							SENS																															
1392	Jusques	JUSQUE	JUSQUE	S		VM/DS																																				JUSQUE																		
1393	à	À	À	S		VM/DS																																				À																		
1394	tant	TANT	TANT	R		VM/DS																																			TANT																			
1395	0	0	0	Fw		VM/DS																					0																																	
1396	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1397	ravir	RAVIR	RAVIR	Vvn		VM/DS																																														RAVIR								
1398	je	IL	IL	Pp		VM/DS																															IL																							
1399	me	LE	LE	Pp		VM/DS																															LE																							
1400	sens	SENTIR	SENTIR	Vvc		VM/DS																							SENS																						SENTIR									
1401	Par	PAR	PAR	S		VM/DS																																				PAR																		
1402	le	LE	LE	Da		VM/DS										LE																					LE																							
1403	sommeil	SOMMEIL	SOMMEIL	Nc		VM/DS																							SOMMEIL																															
1404	en	EN	EN	S		VM/DS																															EN					EN													EN					
1405	paisible	PAISIBLE	PAISIBLE	Aq		VM/DS					PAISIBLE																																																	
1406	sejour	SÉJOUR	SÉJOUR	Nc		VM/DS																							SÉJOUR																															
1407	Sans	SANS	SANS	S		VM/DS																																				SANS																		
1408	pensement	PENSEMENT	PENSEMENT	Nc		VM/DS																							PENSEMENT																															
1409	jusqu'	JUSQUE	JUSQUE	S		VM/DS																																				JUSQUE																		
1410	à	À	À	S		VM/DS																																				À																		
1411	l'	LE	LE	Da		VM/DS										LE																					LE																							
1412	aube	AUBE	AUBE	Nc		VM/DS																							AUBE																															
1413	du	DE+LE	DE+LE	S+Da		VM/DS																																					DE+LE	DE+LE																
1414	jour	JOUR	JOUR	Nc		VM/DS																							JOUR																															
1415	0	0	0	Fw		VM/DS																					0																																	
1416	Qu'	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1417	elle	IL	IL	Pp		VM/DS																															IL																							
1418	blanchit	BLANCHIR	BLANCHIR	Vvc		VM/DS																																													BLANCHIR									
1419	0	0	0	Fw		VM/DS																					0																																	
1420	&	ET	ET	Cc		VM/DS							ET																																															
1421	vers	VERS	VERS	S		VM/DS																																				VERS																		
1422	le	LE	LE	Da		VM/DS										LE																					LE																							
1423	Matin	MATIN	MATIN	Nc		VM/DS																							MATIN																															
1424	monte	MONTER	MONTER	Vvc		VM/DS																																													MONTER									
1425	.	.	.	Fs		VM/DS																				.																																		
1426	Adonc	ADONC	ADONC	R		VM/DS																																			ADONC																			
1427	me	LE	LE	Pp		VM/DS																															LE																							
1428	prend	PRENDRE	PRENDRE	Vvc		VM/DS																																													PRENDRE									
1429	d'	DE	DE	S		VM/DS													UN	DU																						DE																		
1430	avoir	AVOIR	AVOIR	Vun		VM/DS																																										AVOIR	AVOIR	AVOIR										
1431	tant	TANT	TANT	R		VM/DS																																			TANT																			
1432	dormy	DORMIR	DORMIR	PAGe		VM/DS																												DORMIR																										
1433	honte	HONTE	HONTE	Nc		VM/DS																							HONTE																															
1434	0	0	0	Fw		VM/DS																					0																																	
1435	Mesmes	MÊME	MÊME	R		VM/DS																							MÉMÉ/MÊME												MÊME																			
1436	oyant	OUÏR	OUÏR	PAGa		VM/DS																											OUÏR																											
1437	l'	LE	LE	Da		VM/DS										LE																					LE																							
1438	Alouette	ALOUETTE	ALOUETTE	Nc		VM/DS																							ALOUETTE																															
1439	annonçante	ANNONCER	ANNONCER	PAGa		VM/DS																											ANNONCER																											
1440	Le	LE	LE	Da		VM/DS										LE																					LE																							
1441	jour	JOUR	JOUR	Nc		VM/DS																							JOUR																															
1442	venant	VENIR	VENIR	PAGa		VM/DS																							VENANT				VENIR																											
1443	0	0	0	Fw		VM/DS																					0																																	
1444	&	ET	ET	Cc		VM/DS							ET																																															
1445	la	LE	LE	Da		VM/DS										LE																					LE																							
1446	clarté	CLARTÉ	CLARTÉ	Nc		VM/DS																							CLARTÉ																															
1447	plaisante	PLAIRE	PLAIRE	PAGa		VM/DS					PLAISANT																						PLAIRE																		PLAISANTER									
1448	0	0	0	Fw		VM/DS																					0																																	
1449	Que	QUE	QUE	Pr		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1450	tout	TOUT	TOUT	Di		VM/DS			TOUT									TOUT																		TOUT																								
1451	oyseau	OISEAU	OISEAU	Nc		VM/DS																							OISEAU																															
1452	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1453	quelconque	QUELCONQUE	QUELCONQUE	Di		VM/DS					QUELCONQUE							QUELCONQUE																																										
1454	plumage	PLUMAGE	PLUMAGE	Nc		VM/DS																							PLUMAGE																															
1455	Salue	SALUER	SALUER	Vvc		VM/DS																							SALVE																						SALUER									
1456	apres	APRÈS	APRÈS	R		VM/DS																																			APRÈS	APRÈS																		
1457	au	A+LE	A+LE	S+Da		VM/DS																																				À+LE		A+LE																
1458	chant	CHANT	CHANT	Nc		VM/DS																							CHANT																															
1459	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1460	son	SON	SON	Ds		VM/DS																SON																																						
1461	ramage	RAMAGE	RAMAGE	Nc		VM/DS																							RAMAGE																															
1462	0	0	0	Fw		VM/DS																					0																																	
1463	Qui	QUI	QUI	Pr		VM/DS																																QUI		QUI																				
1464	tant	TANT	TANT	R		VM/DS																																			TANT																			
1465	m'	LE	LE	Pp		VM/DS																															LE																							
1466	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1467	doux	DOUX	DOUX	Aq		VM/DS					DOUX																																																	
1468	0	0	0	Fw		VM/DS																					0																																	
1469	que	QUE	QUE	Cs		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1470	me	LE	LE	Pp		VM/DS																															LE																							
1471	sens	SENTIR	SENTIR	Vvc		VM/DS																							SENS																						SENTIR									
1472	derechef	DERECHEF	DERECHEF	R		VM/DS																																			DERECHEF																			
1473	Apesantir	APPESANTIR	APPESANTIR	Vvn		VM/DS																																														APPESANTIR								
1474	&	ET	ET	Cc		VM/DS							ET																																															
1475	les	LE	LE	Da		VM/DS										LE																					LE																							
1476	yeux	OEIL	OEIL	Nc		VM/DS																							OEIL																															
1477	0	0	0	Fw		VM/DS																					0																																	
1478	&	ET	ET	Cc		VM/DS							ET																																															
1479	le	LE	LE	Da		VM/DS										LE																					LE																							
