	Mot n°	form	Variante de lemme	lemma	pos	Constellation	Mode Validation	#	A	Ai	Ao	Aq	C	Cc	Cs	D	Da	Dd	Di	Dn	Dp	Dr	Ds	Dt	E	F	Fs	Fw	I	Nc	Np	OUT	P	PAGa	PAGe	Pd	Pi	Pp	Pr	Ps	Pt	R	S	S+D	S+Da	S+Dr	S+Pr	V	Vu	Vuc	Vun	Vvc	Vvn	X	Xe	Xp	Xs	Z	Zc	Zo	Inconnu
1715	1716	à	À	À	S		VM/DS																																				À																		
1716	1717	l'	LE	LE	DETdef		VM/DS										LE																					LE																							
1717	1718	homme	HOMME	HOMME	NOMcom		VM/DS																							HOMME																															
1718	1719	chose	CHOSE	CHOSE	NOMcom		VM/DS																							CHOSE																															
1719	1720	honneste	HONNÊTE	HONNÊTE	Aq		VM/DS					HONNÊTE																																																	
1720	1721	0	0	0	PONfbl		VM/DS																					0																																	
1721	1722	Quand	QUAND	QUAND	CONsub		VM/DS								QUAND																																														
1722	1723	des	DE+LES	DE+LES	S+Da		VM/DS													UN	DU																						DÈS	DE+LES	DE+LES																
1723	1724	liens	LIEN	LIEN	NOMcom		VM/DS																							LIEN																															
1724	1725	d'	DE	DE	S		VM/DS													UN	DU																						DE																		
1725	1726	amour	AMOUR	AMOUR	NOMcom		VM/DS																							AMOUR																															
1726	1727	si	SI	SI	R		VM/DS								SI																											SI																			
1727	1728	fort	FORT	FORT	R		VM/DS					FORT																														FORT																			
1728	1729	se	LE	LE	PROper		VM/DS																															LE																							
1729	1730	lie	LIER	LIER	Vvc		VM/DS																																													LIER									
1730	1731	0	0	0	PONfbl		VM/DS																					0																																	
1731	1732	Qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1732	1733	à	À	À	S		VM/DS																																				À																		
1733	1734	chef	CHEF	CHEF	NOMcom		VM/DS																							CHEF																															
1734	1735	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1735	1736	temps	TEMPS	TEMPS	NOMcom		VM/DS																							TEMPS																															
1736	1737	le	LE	LE	DETdef		VM/DS										LE																					LE																							
1737	1738	malheureux	MALHEUREUX	MALHEUREUX	NOMcom		VM/DS					MALHEUREUX																		MALHEUREUX																															
1738	1739	s'	LE	LE	PROper		VM/DS								SI																							LE																							
1739	1740	oublie	OUBLIER	OUBLIER	Vvc		VM/DS																							OUBLIE																						OUBLIER									
1740	1741	0	0	0	PONfbl		VM/DS																					0																																	
1741	1742	Et	ET	ET	CONcoo		VM/DS							ET																																															
1742	1743	0	0	0	PONfbl		VM/DS																					0																																	
1743	1744	comme	COMME	COMME	S		VM/DS							COMME	COMME																											COMME	COMME																		
1744	1745	beste	BÊTE	BÊTE	NOMcom		VM/DS					BÊTE																		BÊTE																															
1745	1746	0	0	0	PONfbl		VM/DS																					0																																	
1746	1747	au	A+LE	A+LE	S+Da		VM/DS																																				À+LE		A+LE																
1747	1748	temps	TEMPS	TEMPS	NOMcom		VM/DS																							TEMPS																															
1748	1749	present	PRÉSENT	PRÉSENT	Aq		VM/DS					PRÉSENT																																																	
1749	1750	regarde	REGARDER	REGARDER	Vvc		VM/DS																																													REGARDER									
1750	1751	.	.	.	PONfrt		VM/DS																				.																																		
1751	1752	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
1752	1753	0	0	0	PONfbl		VM/DS																					0																																	
1753	1754	vivant	VIVRE	VIVRE	PAGa		VM/DS																							VIVANT				VIVRE																											
1754	1755	seul	SEUL	SEUL	Aq		VM/DS					SEUL																																																	
1755	1756	0	0	0	PONfbl		VM/DS																					0																																	
1756	1757	le	LE	LE	DETdef		VM/DS										LE																					LE																							
1757	1758	matin	MATIN	MATIN	NOMcom		VM/DS																							MATIN																															
1758	1759	il	IL	IL	PROper		VM/DS																															IL																							
1759	1760	luy	LE	LE	PROper		VM/DS																															LE																							
1760	1761	tarde	TARDER	TARDER	Vvc		VM/DS																																													TARDER									
1761	1762	0	0	0	PONfbl		VM/DS																					0																																	
1762	1763	Que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1763	1764	le	LE	LE	DETdef		VM/DS										LE																					LE																							
1764	1765	soir	SOIR	SOIR	NOMcom		VM/DS																							SOIR																															
1765	1766	n'	NE	NE	R		VM/DS																																			NE																			
1766	1767	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1767	1768	pour	POUR	POUR	S		VM/DS																																				POUR																		
1768	1769	son	SON	SON	DETpos		VM/DS																SON																																						
1769	1770	repos	REPOS	REPOS	NOMcom		VM/DS																							REPOS																															
1770	1771	venu	VENIR	VENIR	PAGe		VM/DS																							VENU					VENIR																										
1771	1772	:	:	:	PONfbl		VM/DS																					:																																	
1772	1773	Et	ET	ET	CONcoo		VM/DS							ET																																															
1773	1774	reposant	REPOSER	REPOSER	PAGa		VM/DS					REPOSANT																						REPOSER																											
1774	1775	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1775	1776	la	LE	LE	DETdef		VM/DS										LE																					LE																							
1776	1777	nuict	NUIT	NUIT	NOMcom		VM/DS																							NUIT																															
1777	1778	detenu	DÉTENIR	DÉTENIR	PAGe		VM/DS																							DÉTENU					DÉTENIR																										
1778	1779	Voudroit	VOULOIR	VOULOIR	Vvc		VM/DS																																													VOULOIR									
1779	1780	jà	JÀ	JÀ	R		VM/DS																							JAS												JÀ								AVOIR		AVOIR									
1780	1781	voir	VOIR	VOIR	Vvn		VM/DS																																														VOIR								
1781	1782	l'	LE	LE	DETdef		VM/DS										LE																					LE																							
1782	1783	aube	AUBE	AUBE	NOMcom		VM/DS																							AUBE																															
1783	1784	0	0	0	PONfbl		VM/DS																					0																																	
1784	1785	&	ET	ET	CONcoo		VM/DS							ET																																															
1785	1786	le	LE	LE	DETdef		VM/DS										LE																					LE																							
1786	1787	jour	JOUR	JOUR	NOMcom		VM/DS																							JOUR																															
1787	1788	venir	VENIR	VENIR	Vvn		VM/DS																																														VENIR								
1788	1789	.	.	.	PONfrt		VM/DS																				.																																		
1789	1790	Ainsi	AINSI	AINSI	R		VM/DS								AINSI																											AINSI																			
1790	1791	ne	NE	NE	R		VM/DS																																			NE																			
1791	1792	peult	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
1792	1793	ses	SON	SON	DETpos		VM/DS																SON																																						
1793	1794	desirs	DÉSIR	DÉSIR	NOMcom		VM/DS																							DÉSIR																															
1794	1795	contenir	CONTENIR	CONTENIR	Vvn		VM/DS																																														CONTENIR								
1795	1796	0	0	0	PONfbl		VM/DS																					0																																	
1796	1797	Ains	AINS	AINS	R		VM/DS					AÎNÉ																		AN/END/OINT/AÎNÉ/AINE								EN				AINS	EN									OINDRE									
1797	1798	en	EN	EN	S		VM/DS																															EN					EN													EN					
1798	1799	souhaits	SOUHAIT	SOUHAIT	NOMcom		VM/DS																							SOUHAIT																															
1799	1800	languit	LANGUIR	LANGUIR	Vvc		VM/DS																																													LANGUIR									
1800	1801	insatiable	INSATIABLE	INSATIABLE	Aq		VM/DS					INSATIABLE																																																	
1801	1802	.	.	.	PONfrt		VM/DS																				.																																		
1802	1803	Et	ET	ET	CONcoo		VM/DS							ET																																															
1803	1804	tant	TANT	TANT	R		VM/DS																																			TANT																			
1804	1805	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1805	1806	il	IL	IL	PROper		VM/DS																															IL																							
1806	1807	oysif	OISIF	OISIF	Aq		VM/DS					OISIF																		OISIF																															
1807	1808	0	0	0	PONfbl		VM/DS																					0																																	
1808	1809	&	ET	ET	CONcoo		VM/DS							ET																																															
1809	1810	miserable	MISÉRABLE	MISÉRABLE	Aq		VM/DS					MISÉRABLE																																																	
1810	1811	0	0	0	PONfbl		VM/DS																					0																																	
1811	1812	Que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1812	1813	tous	TOUT	TOUT	ADJind		VM/DS			TOUT																											TOUT																								
1813	1814	ses	SON	SON	DETpos		VM/DS																SON																																						
1814	1815	faits	FAIT	FAIT	NOMcom		VM/DS																							FAIT																															
1815	1816	sont	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1816	1817	chasteaux	CHÂTEAU	CHÂTEAU	NOMcom		VM/DS																							CHÂTEAU																															
1817	1818	en	EN	EN	S		VM/DS																															EN					EN													EN					
1818	1819	Espaigne	ESPAGNE	ESPAGNE	NOMpro		VM/DS																								ESPAGNE																														
1819	1820	0	0	0	PONfbl		VM/DS																					0																																	
1820	1821	Ou	QUE	QUE	PROrel		VM/DS							OU																									QUE			OU																			
1821	1822	tout	TOUT	TOUT	ADJind		VM/DS			TOUT																											TOUT																								
1822	1823	le	LE	LE	DETdef		VM/DS										LE																					LE																							
1823	1824	jour	JOUR	JOUR	NOMcom		VM/DS																							JOUR																															
1824	1825	inutil	INUTILE	INUTILE	Aq		VM/DS					INUTILE																																																	
1825	1826	il	IL	IL	PROper		VM/DS																															IL																							
1826	1827	se	LE	LE	PROper		VM/DS																															LE																							
1827	1828	baigne	BAIGNER	BAIGNER	Vvc		VM/DS																																													BAIGNER									
1828	1829	.	.	.	PONfrt		VM/DS																				.																																		
1829	1830	Pource	PARCE QUE	PARCE QUE	CONsub		VM/DS								PARCE QUE															POUCE/PORCHE/PORQUE/PERCE																															
1830	1831	qu'	OUT	OUT	OUT		VM/DS								QUE																	OUT					QUE		QUE			QUE																			
1831	1832	il	IL	IL	PROper		VM/DS																															IL																							
1832	1833	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1833	1834	sans	SANS	SANS	S		VM/DS																																				SANS																		
1834	1835	occupation	OCCUPATION	OCCUPATION	NOMcom		VM/DS																							OCCUPATION																															
1835	1836	0	0	0	PONfbl		VM/DS																					0																																	
1836	1837	Sans	SANS	SANS	S		VM/DS																																				SANS																		
1837	1838	exercice	EXERCICE	EXERCICE	NOMcom		VM/DS																							EXERCICE																															
1838	1839	0	0	0	PONfbl		VM/DS																					0																																	
1839	1840	&	ET	ET	CONcoo		VM/DS							ET																																															
1840	1841	recreation	RÉCRÉATION	RÉCRÉATION	NOMcom		VM/DS																							RÉCRÉATION																															
1841	1842	0	0	0	PONfbl		VM/DS																					0																																	
1842	1843	Qu'	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE			QUE																			
1843	1844	il	IL	IL	PROper		VM/DS																															IL																							
1844	1845	trouveroit	TROUVER	TROUVER	Vvc		VM/DS																																													TROUVER									
1845	1846	frequentant	FRÉQUENTER	FRÉQUENTER	PAGa		VM/DS																											FRÉQUENTER																											
1846	1847	compaignie	COMPAGNIE	COMPAGNIE	NOMcom		VM/DS																							COMPAGNIE																															
1847	1848	0	0	0	PONfbl		VM/DS																					0																																	
1848	1849	Ou	OU	OU	CONcoo		VM/DS							OU																									OU			OU																			
1849	1850	demeurant	DEMEURER	DEMEURER	PAGa		VM/DS																											DEMEURER																											
1850	1851	avecques	AVEC	AVEC	S		VM/DS																																				AVEC																		
1851	1852	sa	SON	SON	DETpos		VM/DS																SON																																						
1852	1853	mesgnie	MAISNIE	MAISNIE	NOMcom		VM/DS																							MAISNIE																						MENER									
1853	1854	.	.	.	PONfrt		VM/DS																				.																																		
1854	1855	Et	ET	ET	CONcoo		VM/DS							ET																																															
1855	1856	pour	POUR	POUR	S		VM/DS																																				POUR																		
1856	1857	autant	AUTANT	AUTANT	R		VM/DS																																			AUTANT																			
1857	1858	je	IL	IL	PROper		VM/DS																															IL																							
1858	1859	ne	NE	NE	R		VM/DS																																			NE																			
1859	1860	m'	LE	LE	PROper		VM/DS																															LE																							
1860	1861	esbahy	ÉBAHIR	ÉBAHIR	Vvc		VM/DS																												ÉBAHIR																	ÉBAHIR									
1861	1862	point	POINT	POINT	R		VM/DS																							POINT												POINT																			
1862	1863	0	0	0	PONfbl		VM/DS																					0																																	
1863	1864	Si	SI	SI	CONsub		VM/DS								SI															SI																															
1864	1865	orendroit	ORENDROIT	ORENDROIT	R		VM/DS																																			ORENDROIT										RENDRE									
1865	1866	tu	IL	IL	PROper		VM/DS																															IL																							
1866	1867	n'	NE	NE	R		VM/DS																																			NE																			
1867	1868	es	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1868	1869	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
1869	1870	en	EN	EN	S		VM/DS																															EN					EN													EN					
1870	1871	tel	TEL	TEL	DETind		VM/DS					TEL							TEL																		TEL																								
1871	1872	poinct	POINT	POINT	NOMcom		VM/DS																							POINT																															
1872	1873	0	0	0	PONfbl		VM/DS																					0																																	
1873	1874	Comme	COMME	COMME	CONsub		VM/DS							COMME	COMME																											COMME	COMME																		
1874	1875	autresfois	AUTREFOIS	AUTREFOIS	R		VM/DS																																			AUTREFOIS																			
1875	1876	je	IL	IL	PROper		VM/DS																															IL																							
1876	1877	t'	LE	LE	PROper		VM/DS																															LE																							
1877	1878	ay	AVOIR	AVOIR	Vuc		VM/DS																																										AVOIR	AVOIR											
1878	1879	sainement	SAINEMENT	SAINEMENT	R		VM/DS																							SAIGNEMENT												SAINEMENT																			
1879	1880	veu	VOIR	VOIR	PAGe		VM/DS																												VOIR																										
1880	1881	0	0	0	PONfbl		VM/DS																					0																																	
1881	1882	Plein	PLEIN	PLEIN	Aq		VM/DS					PLEIN																		PLEIN																															
1882	1883	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1883	1884	plaisir	PLAISIR	PLAISIR	NOMcom		VM/DS																							PLAISIR																															
1884	1885	0	0	0	PONfbl		VM/DS																					0																																	
1885	1886	&	ET	ET	CONcoo		VM/DS							ET																																															
1886	1887	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1887	1888	tout	TOUT	TOUT	DETind		VM/DS			TOUT									TOUT																		TOUT																								
1888	1889	bien	BIEN	BIEN	NOMcom		VM/DS					BIEN																		BIEN												BIEN																			
1889	1890	pourveu	POURVOIR	POURVOIR	PAGe		VM/DS																												POURVOIR																										
1890	1891	.	.	.	PONfrt		VM/DS																				.																																		
1891	1892	Mais	MAIS	MAIS	CONcoo		VM/DS							MAIS																																															
1892	1893	&	ET	ET	CONcoo		VM/DS							ET																																															
1893	1894	comment	COMMENT	COMMENT	R		VM/DS																							COMMENT											COMMENT	COMMENT																			
1894	1895	pourrois	POUVOIR	POUVOIR	Vvc		VM/DS																																													POUVOIR									
1895	1896	tu	IL	IL	PROper		VM/DS																															IL																							
1896	1897	vivre	VIVRE	VIVRE	Vvn		VM/DS																																														VIVRE								
1897	1898	allaigre	ALLÈGRE	ALLÈGRE	Aq		VM/DS					ALLÈGRE																																																	
1898	1899	En	EN	EN	S		VM/DS																															EN					EN													EN					
1899	1900	ce	CE	CE	DETdem		VM/DS											CE																				CE																							
1900	1901	lieu	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
1901	1902	cy	ci	ci	R		VM/DS																																			ci																			
1902	1903	0	0	0	PONfbl		VM/DS																					0																																	
1903	1904	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
1904	1905	est	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1905	1906	de	DE	DE	S		VM/DS													UN	DU																						DE																		
1906	1907	plaisir	PLAISIR	PLAISIR	NOMcom		VM/DS																							PLAISIR																															
1907	1908	maigre	MAIGRE	MAIGRE	Aq		VM/DS					MAIGRE																																																	
1908	1909	?	?	?	PONfrt		VM/DS																				?																																		
1909	1910	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
1910	1911	0	0	0	PONfbl		VM/DS																					0																																	
1911	1912	nonobstant	NONOBSTANT	NONOBSTANT	R		VM/DS																																			NONOBSTANT	NONOBSTANT																		
1912	1913	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1913	1914	Saulx	SAULE	SAULE	NOMcom		VM/DS																							SAULE																															
1914	1915	espais	ÉPAIS	ÉPAIS	Aq		VM/DS					ÉPAIS																																																	
1915	1916	verdoyent	VERDOYER	VERDOYER	Vvc		VM/DS																																													VERDOYER									
1916	1917	0	0	0	PONfbl		VM/DS																					0																																	
1917	1918	Pource	PARCE QUE	PARCE QUE	CONsub		VM/DS								PARCE QUE															POUCE/PORCHE/PORQUE/PERCE																															
1918	1919	qu'	OUT	OUT	OUT		VM/DS								QUE																	OUT					QUE		QUE		QUE	QUE																			
1919	1920	ilz	IL	IL	PROper		VM/DS																															IL																							
1920	1921	sont	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1921	1922	pres	PRÈS	PRÈS	R		VM/DS																																			PRÈS																			
1922	1923	des	DE+LES	DE+LES	S+Da		VM/DS													UN	DU																						DÈS	DE+LES	DE+LES																
1923	1924	lieux	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
1924	1925	0	0	0	PONfbl		VM/DS																					0																																	
1925	1926	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
1926	1927	undoyent	ONDOYER	ONDOYER	Vvc		VM/DS					ONDOYANT																																								ONDOYER									
1927	1928	0	0	0	PONfbl		VM/DS																					0																																	
1928	1929	Si	SI	SI	R		VM/DS																							SI												SI																			
1929	1930	sont	ÊTRE	ÊTRE	Vuc		VM/DS																																										ÊTRE	ÊTRE	ÊTRE										
1930	1931	ilz	IL	IL	PROper		VM/DS																															IL																							
1931	1932	bien	BIEN	BIEN	R		VM/DS					BIEN																		BIEN												BIEN																			
1932	1933	pour	POUR	POUR	S		VM/DS																																				POUR																		
1933	1934	plus	PLUS	PLUS	R		VM/DS																																			PLUS																			
1934	1935	grande	GRAND	GRAND	Aq		VM/DS					GRAND																																																	
1935	1936	raison	RAISON	RAISON	NOMcom		VM/DS																							RAISON																															
1936	1937	Joints	JOINDRE	JOINDRE	PAGe		VM/DS																							JOINT					JOINDRE																										
1937	1938	aux	A+LES	A+LES	S+Da		VM/DS																																				À+LES		A+LES																
1938	1939	ruisseaux	RUISSEAU	RUISSEAU	NOMcom		VM/DS																							RUISSEAU																															
1939	1940	0	0	0	PONfbl		VM/DS																					0																																	
1940	1941	voire	VOIRE	VOIRE	R		VM/DS							VOIRE																												VOIRE																			
1941	1942	toute	TOUT	TOUT	DETind		VM/DS			TOUT									TOUT																		TOUT						TOUT																		
1942	1943	saison	SAISON	SAISON	NOMcom		VM/DS																							SAISON																															
1943	1944	.	.	.	PONfrt		VM/DS																				.																																		
1944	1945	Et	ET	ET	CONcoo		VM/DS							ET																																															
1945	1946	te	LE	LE	PROper		VM/DS																															LE																							
1946	1947	diray	DIRE	DIRE	Vvc		VM/DS																																													DIRE									
1947	1948	(	(	(	PONfbl		VM/DS																			(		(																																	
1948	1949	mais	MAIS	MAIS	CONcoo		VM/DS							MAIS																																															
1949	1950	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1950	1951	tu	IL	IL	PROper		VM/DS																															IL																							
1951	1952	ne	NE	NE	R		VM/DS																																			NE																			
1952	1953	t'	LE	LE	PROper		VM/DS																															LE																							
1953	1954	en	LE	LE	PROper		VM/DS																															LE					EN													EN					
1954	1955	fasches	FÂCHER	FÂCHER	Vvc		VM/DS																												FÂCHER																	FÂCHER									
1955	1956	)	)	)	PONfbl		VM/DS																			)		)																																	
1956	1957	L'	LE	LE	DETdef		VM/DS										LE																					LE																							
1957	1958	histoire	HISTOIRE	HISTOIRE	NOMcom		VM/DS																							HISTOIRE																															
1958	1959	d'	DE	DE	S		VM/DS													UN	DU																						DE																		
1959	1960	eux	LE	LE	PROper		VM/DS																															LE																							
1960	1961	0	0	0	PONfbl		VM/DS																					0																																	
1961	1962	à	AFIN QUE	AFIN QUE	CONsub		VM/DS								AFIN QUE																												À																		
1962	1963	fin	OUT	OUT	OUT		VM/DS					FIN																		FIN		OUT																													
1963	1964	que	OUT	OUT	OUT		VM/DS								QUE																	OUT					QUE		QUE		QUE	QUE																			
1964	1965	tu	IL	IL	PROper		VM/DS																															IL																							
1965	1966	la	LE	LE	PROper		VM/DS										LE																					LE																							
1966	1967	saches	SAVOIR	SAVOIR	Vvc		VM/DS																																													SAVOIR									
1967	1968	.	.	.	PONfrt		VM/DS																				.																																		
1968	1969	Mais	MAIS	MAIS	CONcoo		VM/DS							MAIS																																															
1969	1970	premier	PREMIER	PREMIER	Zo		VM/DS					PREMIER																		PREMIER																														PREMIER	
1970	1971	fault	FALLOIR	FALLOIR	Vvc		VM/DS																																													FALLOIR									
1971	1972	idoine	IDOINE	IDOINE	Aq		VM/DS					IDOINE																																																	
1972	1973	lieu	LIEU	LIEU	NOMcom		VM/DS																							LIEU																															
1973	1974	choisir	CHOISIR	CHOISIR	Vvn		VM/DS																																														CHOISIR								
1974	1975	Pour	POUR	POUR	S		VM/DS																																				POUR																		
1975	1976	mieux	MIEUX	MIEUX	R		VM/DS																																			MIEUX																			
1976	1977	l'	LE	LE	PROper		VM/DS										LE																					LE																							
1977	1978	estendre	ÉTENDRE	ÉTENDRE	Vvn		VM/DS																																														ÉTENDRE								
1978	1979	au	A+LE	A+LE	S+Da		VM/DS																																				À+LE		A+LE																
1979	1980	long	LONG	LONG	NOMcom		VM/DS					LONG																		LONG																															
1980	1981	0	0	0	PONfbl		VM/DS																					0																																	
1981	1982	&	ET	ET	CONcoo		VM/DS							ET																																															
1982	1983	à	À	À	S		VM/DS																																				À																		
1983	1984	loysir	LOISIR	LOISIR	NOMcom		VM/DS																							LOISIR																															
1984	1985	Hors	HORS	HORS	S		VM/DS																																				HORS																		
1985	1986	du	DE+LE	DE+LE	S+Da		VM/DS																																					DE+LE	DE+LE																
1986	1987	Soleil	SOLEIL	SOLEIL	NOMcom		VM/DS																							SOLEIL																															
1987	1988	0	0	0	PONfbl		VM/DS																					0																																	
1988	1989	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
1989	1990	jà	JÀ	JÀ	R		VM/DS																							JAS												JÀ								AVOIR		AVOIR									
1990	1991	nous	LE	LE	PROper		VM/DS																															LE																							
1991	1992	donne	DONNER	DONNER	Vvc		VM/DS																																													DONNER									
1992	1993	encombre	ENCOMBRE	ENCOMBRE	NOMcom		VM/DS																							ENCOMBRE																						ENCOMBRER									
1993	1994	.	.	.	PONfrt		VM/DS																				.																																		
1994	1995	Et	ET	ET	CONcoo		VM/DS							ET																																															
1995	1996	ce	CELUI	CELUI	PROdem		VM/DS											CE																		CELUI		CE																							
1996	1997	pendant	PENDANT	PENDANT	S		VM/DS																																				PENDANT																		
1997	1998	que	QUE	QUE	CONsub		VM/DS								QUE																						QUE		QUE		QUE	QUE																			
1998	1999	noz	SON	SON	DETpos		VM/DS				NOTRE												SON															NOUS																							
1999	2000	brebis	BREBIS	BREBIS	NOMcom		VM/DS																							BREBIS																															
2000	2001	à	À	À	S		VM/DS																																				À																		
2001	2002	l'	LE	LE	DETdef		VM/DS										LE																					LE																							
2002	2003	umbre	OMBRE	OMBRE	NOMcom		VM/DS																							OMBRE																									_MOT_ETRANGER						
2003	2004	Rumineront	RUMINER	RUMINER	Vvc		VM/DS																																													RUMINER									
2004	2005	0	0	0	PONfbl		VM/DS																					0																																	
2005	2006	Hardy	HARDY	HARDY	NOMpro		VM/DS					HARDI																			HARDY																														
2006	2007	0	0	0	PONfbl		VM/DS																					0																																	
2007	2008	ton	SON	SON	DETpos		VM/DS																SON																																						
2008	2009	chien	CHIEN	CHIEN	NOMcom		VM/DS																							CHIEN																															
2009	2010	puissant	PUISSANT	PUISSANT	Aq		VM/DS					PUISSANT																																																	
2010	2011	0	0	0	PONfbl		VM/DS																					0																																	
2011	2012	Fera	FAIRE	FAIRE	Vvc		VM/DS																																													FAIRE									
2012	2013	le	LE	LE	DETdef		VM/DS										LE																					LE																							
2013	2014	guet	GUET	GUET	NOMcom		VM/DS																							GUET																															
2014	2015	sur	SUR	SUR	S		VM/DS																																				SUR																		
2015	2016	le	LE	LE	DETdef		VM/DS										LE																					LE																							
2016	2017	Loup	LOUP	LOUP	NOMcom		VM/DS																							LOUP																															
2017	2018	ravissant	RAVIR	RAVIR	PAGa		VM/DS					RAVISSANT																						RAVIR																											
2018	2019	.	.	.	PONfrt		VM/DS																				.																																		
2019	2020	*PHILERME	PHILERME	PHILERME	NOMpro		VM/DS																								PHILERME																														
2020	2021	Or	OR	OR	R		VM/DS																							OR												OR																			
2021	2022	allons	ALLER	ALLER	Vvc		VM/DS																																													ALLER									
2022	2023	donc	DONC	DONC	R		VM/DS																																			DONC																			
2023	2024	(	(	(	PONfbl		VM/DS																			(		(																																	
2024	2025	pour	POURVU QUE	POURVU QUE	CONsub		VM/DS								POURVU QUE																												POUR																		
2025	2026	veu	OUT	OUT	OUT		VM/DS																									OUT			VOIR																										
2026	2027	que	OUT	OUT	OUT		VM/DS								QUE																	OUT					QUE		QUE		QUE	QUE																			
2027	2028	tu	IL	IL	PROper		VM/DS																															IL																							
2028	2029	le	LE	LE	PROper		VM/DS										LE																					LE																							
2029	2030	vueilles	VOULOIR	VOULOIR	Vvc		VM/DS					VEULE																		VILLE																						VOULOIR									
2030	2031	)	)	)	PONfbl		VM/DS																			)		)																																	
2031	2032	Seoir	SEOIR	SEOIR	Vvn		VM/DS																																														SEOIR								
2032	2033	soubz	SOUS	SOUS	S		VM/DS																																				SOUS									SUER									
2033	2034	cest	CE	CE	DETdem		VM/DS											CE															CEDIT																												
2034	2035	Orme	ORME	ORME	NOMcom		VM/DS																							ORME																															
2035	2036	à	À	À	S		VM/DS																																				À																		
2036	2037	si	SI	SI	R		VM/DS								SI																											SI																			
2037	2038	espaisses	ÉPAIS	ÉPAIS	Aq		VM/DS					ÉPAIS																																																	
2038	2039	fueilles	FEUILLE	FEUILLE	NOMcom		VM/DS																							FEUILLE																						FEUILLER									
2039	2040	.	.	.	PONfrt		VM/DS																				.																																		
2040	2041	Car	CAR	CAR	CONcoo		VM/DS							CAR																CAR																															
2041	2042	là	LÀ	LÀ	R		VM/DS																																			LÀ																			
2042	2043	se	LE	LE	PROper		VM/DS																															LE																							
2043	2044	plaint	PLAINDRE	PLAINDRE	Vvc		VM/DS																																													PLAINDRE									
2044	2045	la	LE	LE	DETdef		VM/DS										LE																					LE																							
2045	2046	Tourte	TOURTE	TOURTE	NOMcom		VM/DS																							TOURTE																															
2046	2047	vefve	VEUF	VEUF	Aq		VM/DE					VEUF																		VUE/VIVE/VEUF/VEUVE																															
2047	2048	&	ET	ET	CONcoo		VM/DS							ET																																															
2048	2049	triste	TRISTE	TRISTE	Aq		VM/DS					TRISTE																																																	
2049	2050	0	0	0	PONfbl		VM/DS																					0																																	
2050	2051	Et	ET	ET	CONcoo		VM/DS							ET																																															
2051	2052	la	LE	LE	DETdef		VM/DS										LE																					LE																							
2052	2053	Palombe	PALOMBE	PALOMBE	NOMcom		VM/DS																							PALOMBE																															
2053	2054	0	0	0	PONfbl		VM/DS																					0																																	
2054	2055	aupres	AUPRÈS	AUPRÈS	R		VM/DS																																			AUPRÈS	AUPRÈS																		
2055	2056	qui	QUI	QUI	PROrel		VM/DS																																QUI		QUI																				
2056	2057	se	LE	LE	PROper		VM/DS																															LE																							
2057	2058	contriste	CONTRISTER	CONTRISTER	Vvc		VM/DS																																													CONTRISTER									
2058	2059	:	:	:	PONfbl		VM/DS																					:																																	
2059	2060	L'	LE	LE	DETdef		VM/DS										LE																					LE																							
2060	2061	aure	AURE	AURE	NOMcom		VM/DS																							AURE																				AVOIR		AVOIR			_MOT_ETRANGER						
2061	2062	0	0	0	PONfbl		VM/DS																					0																																	
2062	2063	&	ET	ET	CONcoo		VM/DS							ET																																															
